ID,Platform,Username,Display Name,Followers,Region,Country Code,Inferred Country,Category,Is Live,Avatar URL,Profile URL,Language
cmk6ib52606b9l370s224rwl9,YOUTUBE,"fede vigevani","Fede Vigevani",71600000,MEXICO,,,Sports,No,https://yt3.googleusercontent.com/ytc/AIdro_k8J6G7YNjz-jjmUjGohtx8PiRUL19BhcFjEwgHs_-W55k=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCoQm-PeHC-cbJclKJYJ8LzA,es
cmk6iab0m05avl370gsxbrpic,YOUTUBE,"yolo aventuras","YOLO AVENTURAS",66700000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/CBsD_xFHXId7BFyDUVdiDgK2eIzAjicU7jPpqXEy1GR1dFPkwUV2PGMUpFeC9uJ4MVZPaiqV=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCOnIJiQuk1fDSp6p1GCZy3A,es
cmk6i9r5x04mkl370s68ictzm,YOUTUBE,"mashaoso","Masha y el Oso",45000000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/6PPOqCh9PTG-nFWhD4cJ1W3irIlJP2JxPqiCnNxQw62_1_SkopfGpQwgLNblzJDcpZwp9tT6mQ=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCuSo4gcgxJRf4Bzu43wwVyg,es
cmk6ic2h207gll370b4l99ob4,YOUTUBE,"susy mouriz","Susy Mouriz",33500000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/wzjwc26do0fmTQn2aBdLdKsrYuZYPmZhgqHmijUrlYjwDK6LjeE-7nPY_Ta0TtOlaoYW4AWdMSI=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC2Rh-eKkibnZq8pRxYYoSSQ,es
cmk6i9s8q04nzl3700wxy0czh,YOUTUBE,"babybuses","BabyBus - Canciones Infantiles & Videos para Niños",29100000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/wQCLV8OC301MzQg9wVCUvZkuBcAwWhMscWBst6mxDyTCw7idFzIV7TUfPqatB4uXUeP1yV1O3jA=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCy_rxpSt8DMagOUFA9Q-t1A,es
cmk6icnk7084vl370w2z49038,YOUTUBE,"little angel español - canciones infantiles","Little Angel Español - Canciones Infantiles",22300000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/4McJZoHCm7wTmQwTbHH9I0JW0NWYXQLE5oFhGaFOiJ-5xlEPrDXGa1satBy2M5-KqXbH7cjxrA=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCTdRly9T3iyCJFjmRoCaepQ,es
cmk6ibih706r6l3706ah8z75x,YOUTUBE,"e-mastersensei","E-MasterSensei",19700000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/6RcXS3DULYsudmDHCf86Y44BxNfU4kWfZfhvxLEeNOXJXAIresjN1evF8cC6KZddbTPB0-yRUqw=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC3osN7-7XJq3NEoKZIUUx0w,es
cmk6i9rqg04nbl370xl2guvk6,YOUTUBE,"bebefinn_spanish","Bebefinn en español - Canciones Infantiles",16100000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/5mkxxtRn_e9sO2i7iWEDipV4YbNVWyUDrWPIUJ9QKz1BIZFms6jyHfmmgnHohFta8mCgD6yYEns=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC9Vv1LScecnPZI778jocihA,es
cmk6ibjsu06sql370xgrplxa9,YOUTUBE,"eliot channel mx","Eliot Channel Mx",15100000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/tNtcF1o8vDjXCnWL-F67OjCxtEE7OGHLOGO5YAo5dXANEFR8oO0yIhrfyp39p_8Ms9eAitAE=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCicv75Se8iS6otnQJ_4Pa_A,es
cmk6ib4w906b2l37007i7byui,YOUTUBE,"canciones infantiles - looloo","Canciones Infantiles - LooLoo",14400000,MEXICO,,,Music,No,https://yt3.googleusercontent.com/FOBUxct2VMB56zLcAl8O2z6oEysXpRgiFzBo9JzNlmHYL3bo8B1tGBpvSEx-K4t2IkWjpH6NQw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC5WwPdvAHvdS1ZK_v6AE90A,es
cmk6icofw085wl370fs79ctgp,YOUTUBE,"123 go! spanish","123 GO! Spanish",14300000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_lTn6p0bjI6bZdr-eUXkAfUwGRPdlnPEIUtBuL8Qk4hx3U=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCYtt2TP3sqR9_qXnc1G4eRA,es
cmk6ibt4k074kl370x9syuq93,YOUTUBE,"franco escamilla","Franco Escamilla",14200000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/xRrAReU94unh0OA6EW_Ja7u18hvhgIdiI2exjQgfxBB6MwM4DQ4b-6qupuuKVl4g4CGlemI6GA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCUjrDJokSX8JavRwy5iUOkA,es
cmk6iaibw05jul370i6xtfwov,YOUTUBE,"más skabeche","Más SKabeche",14100000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/Y3SwnxzFXjPAdxqEsazp9ZCm9fG9bJD4BkjSdteIgsNEAFpzz0nV0zvNwnqXYd8luhkQMudM=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC0n5Ihqix8mEqGsjygiJk6Q,es
cmk6ibb3p06irl370enzksrcl,YOUTUBE,"yair17","Yair17",14000000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/-_mGXzVC2MhrcXJVbrCdNx7gl88j5xwow5nLwIPWeMMzA85_Ju8pTNKuBY-qAfqWvLtSSHrM6g=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCXH1p4gixwXwrUGSx-WvLNQ,es
cmk6icufs08cxl3706houf95m,YOUTUBE,"garena free fire latam","Garena Free Fire LATAM",12700000,MEXICO,,,Gaming,No,,https://www.youtube.com/channel/UC1ZPgKGxaT5P7QKN_bk9xkw,es
cmk6iciyt07zll370zt05nlq7,YOUTUBE,"thehectorino","TheHectorino",12400000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_md4goRKHxlDxte1gz0NzX6eYOX9300ivKvcAQkeLYsPtY=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCUyrOJOArbGjNnrR_RXGHLw,es
cmk6ia4oz052ul370ljvx7wlp,YOUTUBE,"canalestrellas","Las Estrellas",11800000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/c5txVkTzKoRLNiJykFwqMZ_1u50ffJ5WXLb2C11LY0CHHrLjSwl3zjDVXxt4Oz2bJSG-AXhk0g=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCZGYvP6WnVWGM5F0QEAyoyg,es
cmk6ibo4m06y0l370cxpy6b3b,YOUTUBE,"jorge el curioso en español","Jorge el Curioso en Español",11300000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_nCfJ5zS5jr28RoUco9p609rkIyUT5UW6e-ktimx0fJORA=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCWpnUMsmO7UXquKw5f-suFQ,es
cmk6ib5s606c3l3700iipa0ve,YOUTUBE,"nickelodeon en español","Nickelodeon en Español",11100000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/TkRcvDMDc-jWlHshfP4EhMRHmCrtd8m07AJU8sB6aEOv4Sz7ejJAYs9a8X8qO0HWpUjxra6XcQ=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCNeq3Obf4zOv5rhORI8Vz5g,es
cmk6i9uy604r5l370dxfhuk8b,YOUTUBE,"silviogamer","Silvio Gamer",10800000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/so6k2U-oDQSP5k_fNl59y9Ag5mQ2HgHfAfsM7H-AOMensH0ocmn1uVB1qoBZwF7L2rYc-lksyQ=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCCrA8ZN1J3S52wuF4vthZFQ,es
cmk6icl3d0820l370zdnulxkd,YOUTUBE,"los meñiques de la casa","Los Meñiques De La Casa",10600000,MEXICO,,,Music,No,https://yt3.googleusercontent.com/YPJmvtYOi11E26iZqnaXVcdd_mD8NuK5JobXYbATZyN7BOEYP1im3bSkxcoSUcE1CERl15cB=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC4SVXIfxAWDE-3ZBIyvgg8Q,es
cmk6ico5o085kl370bccqfxrv,YOUTUBE,"talking tom & friends español","Talking Tom & Friends Español",10500000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_lHC5HarP36Bu30REpMdpWPsqK-H6QMt4wyu0Bk9YILWnI=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCC9R-cxQeOpPhq2lAru0V8w,es
cmk6i6qsb00rsl370jpnjbja6,TWITCH,"elmariana","ElMariana",10439525,MEXICO,,,Gaming,No,https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-300x300.png,https://twitch.tv/elmariana,es
cmk6ibuac0763l370fygpaxqq,YOUTUBE,"bob esponja en español","Bob Esponja en Español",10100000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/Oar4N0Zohj8UF3SrUgTOONsrUBuwBsSFfcGiPza40WjE_U7iayoqK_4Jv75FN7RnJw-j9D7rSQ=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCMfYMB69Y1B-SlGKm1Tdb0Q,es
cmk6ia0zx04y6l3705o6tmk0l,YOUTUBE,"elabrahaham","ElAbrahaham",10000000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/T8cu88t8knQzc0Vk8uH7HVsAm2X3iAIM3IQ6hsTOSKn4fW_O9QHafHepdAlzo5tnJqbClJc8XA=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UColTsB6zogXWooPbeO67Wgw,es
cmk6icnq70852l370a96qj2wj,YOUTUBE,"antronixx g","Antronixx G",9650000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_md4goRKHxlDxte1gz0NzX6eYOX9300ivKvcAQkeLYsPtY=s68-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCrY307dziCjW1E6u1ZuLetg,es
cmk6i9qsi04m2l3708yaixtwn,YOUTUBE,"nmás","NMás",9130000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ny6DPObHX6sXnX_2Kv94zAbaEXe_fiQ-f4g3LjBa15WfgZBdKthYKY2RqhFpi3hxuGNUU25-NdQ=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCUsm-fannqOY02PNN67C0KA,es
cmk6ib0lr065nl370f52d3ewp,YOUTUBE,"boomsniper","BoomSniper",8550000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_m39aMBY95BhLBi3GKYFkHX2s8DrWjxzT79ikqLQB_0I8U=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCJdkSOKRCzXe0ntaA4tbDsg,es
cmk6iar1e05ucl37024h99nu5,YOUTUBE,"el fedelobo","El Fedelobo",8380000,MEXICO,,,Gaming,No,https://yt3.googleusercontent.com/ytc/AIdro_kKXsSgCE27mLarxjo065dzzKa7RQLOU8OeD3kycwEzTDI=s160-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCSM3FVwdCIJfU0OdjKZb94A,en
